restaurant_id,postal_code,restaurant_name,restaurant_address,dish_name,category,MAIN MUNICIPALITY
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
110376,2000,McDonald's Teniersplaats,Teniersplaats 4,Red Devils Veggie,Veggie,ANTWERPEN
110376,2000,McDonald's Teniersplaats,Teniersplaats 4,Red Devils Veggie McMenu®,Veggie,ANTWERPEN
110376,2000,McDonald's Teniersplaats,Teniersplaats 4,McVeggie,Veggie,ANTWERPEN
110376,2000,McDonald's Teniersplaats,Teniersplaats 4,McVeggie McMenu®,Veggie,ANTWERPEN
110376,2000,McDonald's Teniersplaats,Teniersplaats 4,Veggie Deluxe,Veggie,ANTWERPEN
