restaurant_name,restaurant_id,city,categories,veg_category_count
lamoon-thai,0111337N,Zuienkerke,No Vegetarian Categories,1
arata-sushi,07Q5Q311,Vlissegem,No Vegetarian Categories,1
pizza-portofino,0R5310N1,Vlissegem,No Vegetarian Categories,1
pitta-number-1-bredene-1,3P5Q0Q7N,Bredene-Bad,No Vegetarian Categories,1
restaurant-medina,N37553Q,Klemskerke,No Vegetarian Categories,1
pronto-blankenberge,N73OP05,Vlissegem,No Vegetarian Categories,1
by-blankenberge,NR00N05,Klemskerke,No Vegetarian Categories,1
oasis-pizza-kebab,O117NN7,Vlissegem,No Vegetarian Categories,1
indian-tandoori-grill,O11O31QN,Bredene-Bad,No Vegetarian Categories,1
frietrevue,O33R1N11,Vlissegem,Vegan,1
t-food-dilemma,OPPR5RR,Vlissegem,No Vegetarian Categories,1
pizza-sam-blankenberge,OQ1O7RN1,Vlissegem,No Vegetarian Categories,1
il-forno-de-haan,ORPQQ031,Bredene-Bad,No Vegetarian Categories,1
t-spitje-wenduine,R77R15QN,Klemskerke,No Vegetarian Categories,1
moana-pokebowls-bv,RRR3OOQN,Vlissegem,No Vegetarian Categories,1
dr-grill,O55N3011,Retie,No Vegetarian Categories,1
izmir-snacks,37RR071,Achel,No Vegetarian Categories,1
adak-kebab-1,NQN3O05,Achel,No Vegetarian Categories,1
york-pizza-pelt,0177P37N,Overpelt,"Vegan pizza's,Vegetarian pizza,Vegan pizza",3
eethuis-florya-neerpelt-1,51Q5353,Overpelt,No Vegetarian Categories,1
eethuis-kodak,5NQQN3N,Overpelt,No Vegetarian Categories,1
orient-overpelt,NNPQP15,Overpelt,No Vegetarian Categories,1
fresh-overpelt,O05RNP01,Overpelt,No Vegetarian Categories,1
sint-antonius-neerpelt,O37NOQQ,Overpelt,No Vegetarian Categories,1
la-bella-neerpelt-3910,OO0PN1QN,Overpelt,No Vegetarian Categories,1
oke-poke-bowl,R13175QN,Bambrugge,No Vegetarian Categories,1
snackbar-tasty,O1R7717,Keerbergen,No Vegetarian Categories,1
dangelo-tremelo,R0P5O5QN,Werchter,No Vegetarian Categories,1
pizza-perfect,0N15ON31,Boortmeerbeek,No Vegetarian Categories,1
king-kebap,30R0P51,Boortmeerbeek,No Vegetarian Categories,1
hever-kebab,NRRN737,Boortmeerbeek,No Vegetarian Categories,1
momo-sushi,ONQQRRPN,Steenokkerzeel,No Vegetarian Categories,1
itaz-pizzeria-restaurant,OON11RN1,Boortmeerbeek,No Vegetarian Categories,1
dominos-pizza-sint-katelijne-waver,N011RO7,Mechelen,"Pizzas vegan,Vegan Pizza's",2
kebap-kursat-1,N0RQP05,Averbode,No Vegetarian Categories,1
milano-pizza-grill,30PPON,Boortmeerbeek,No Vegetarian Categories,1
bij-t-bosske,0PP17P5N,Putte,No Vegetarian Categories,1
unal-snacks,5OO1RNN,Bonheiden,No Vegetarian Categories,1
grissini,NRROQRO,Boortmeerbeek,No Vegetarian Categories,1
saitama-sushi-wok-thai-3140,QPR0RPQN,Boortmeerbeek,No Vegetarian Categories,1
peppino-pazzo-2,R1R0O3QN,Boortmeerbeek,No Vegetarian Categories,1
snack-babylon-uccle-1,0O5RR55N,Drogenbos,No Vegetarian Categories,1
made-in-sud,3PO3PQ7N,Drogenbos,No Vegetarian Categories,1
