restaurant_id,postal_code,restaurant_name,restaurant_address,dish_name,category
303788,9000,Dunkin,33 Langemunt,Vegan donut box 6,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan donut box 6,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan donut box 6,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan donut box 6,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan donut box 6,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan donut box 12,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan donut box 12,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan donut box 12,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan donut box 12,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan donut box 12,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan donut box 12,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Blue,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Blue,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Blue,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Blue,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Blue,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Blue,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Pink,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Pink,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Pink,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Pink,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Pink,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Pink,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Original Glazed,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Original Glazed,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Original Glazed,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Original Glazed,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Original Glazed,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Original Glazed,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Snowbear,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Snowbear,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Snowbear,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Snowbear,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Snowbear,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Snowbear,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Speculoos Sensation,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Speculoos Sensation,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Speculoos Sensation,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Speculoos Sensation,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Speculoos Sensation,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Speculoos Sensation,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Strawberry Swirl,Vegan Donuts
